No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
194,VNO,Vornado Realty Trust,Financial,REIT - Diversified,USA,12.08B,4.24,63.67,-0.61%,"2,054,933"
195,CMS,CMS Energy Corporation,Utilities,Electric Utilities,USA,18.44B,33.00,63.95,-0.09%,"1,811,950"
196,K,Kellogg Company,Consumer Goods,Processed & Packaged Goods,USA,21.96B,25.97,64.35,0.39%,"2,069,128"
197,XEL,Xcel Energy Inc.,Utilities,Electric Utilities,USA,33.53B,26.52,64.89,-0.72%,"3,900,916"
198,ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,USA,8.05B,15.92,64.91,1.14%,"808,615"
199,CMA,Comerica Incorporated,Financial,Money Center Banks,USA,10.03B,8.52,65.99,0.30%,"1,141,120"
200,CDNS,"Cadence Design Systems, Inc.",Technology,Application Software,USA,18.90B,43.94,66.08,1.35%,"1,592,153"
201,EMR,Emerson Electric Co.,Industrial Goods,Industrial Electrical Equipment,USA,41.07B,21.27,66.86,0.69%,"4,903,903"
202,INFO,IHS Markit Ltd.,Services,Business Services,United Kingdom,27.14B,72.62,66.88,1.83%,"2,802,795"
203,CXO,Concho Resources Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,13.56B,27.75,67.90,-1.31%,"1,383,320"
204,CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,21.70B,36.51,68.17,-0.29%,"3,190,935"
205,FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,USA,22.80B,38.78,68.56,-0.06%,"2,229,525"
206,STI,"SunTrust Banks, Inc.",Financial,Money Center Banks,USA,30.53B,12.27,68.80,-0.07%,"3,635,029"
207,BBY,"Best Buy Co., Inc.",Services,Electronics Stores,USA,17.84B,12.29,68.99,1.05%,"1,805,176"
208,C,Citigroup Inc.,Financial,Money Center Banks,USA,158.12B,9.65,69.08,-0.55%,"8,653,039"
209,CSX,CSX Corporation,Services,Railroads,USA,55.70B,16.67,69.27,0.52%,"3,095,572"
210,REG,Regency Centers Corporation,Financial,REIT - Retail,USA,11.60B,40.35,69.49,0.59%,"1,014,899"
211,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,7.37B,14.06,69.52,2.03%,"1,368,362"
212,PCAR,PACCAR Inc,Consumer Goods,Trucks & Other Vehicles,USA,24.16B,10.30,70.01,1.45%,"1,493,954"
213,XOM,Exxon Mobil Corporation,Basic Materials,Major Integrated Oil & Gas,USA,301.58B,17.03,70.61,-1.22%,"9,764,698"
214,WAB,Wabtec Corporation,Services,Railroads,USA,13.76B,41.09,71.86,-0.19%,"776,305"
215,LW,"Lamb Weston Holdings, Inc.",Consumer Goods,Food - Major Diversified,USA,10.63B,23.02,72.72,-0.87%,"1,613,251"
216,BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,24.73B,43.37,72.81,0.03%,"2,860,089"
217,VTR,"Ventas, Inc.",Financial,REIT - Healthcare Facilities,USA,27.24B,59.62,73.03,-0.84%,"1,479,076"
218,CL,Colgate-Palmolive Company,Consumer Goods,Personal Products,USA,63.17B,27.03,73.51,0.34%,"3,387,211"
219,OKE,"ONEOK, Inc.",Utilities,Gas Utilities,USA,30.51B,24.38,73.69,0.53%,"1,774,875"
